Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
CZ	parliamentaryGroup	parliamentaryGroup.ANO	ANO	-	Poslanecký klub ANO 2011	Political group ANO 2011	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.CSSD	ČSSD	-	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.KDS.6	KDS	-	Poslanecký klub Křesťansko demokratické strany	Christian Democratic Party	1992-06-06	1996-03-31	-
CZ	parliamentaryGroup	parliamentaryGroup.KDU-CSL	KDU-ČSL	-	Poslanecký klub KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.KSCM	KSČM	-	Poslanecký klub Komunistické strany Čech a Moravy	Political group Communist Party of Bohemia and Moravia	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.KSCS	KSČS	-	Komunistická strana Československa	-	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.LB.10	LB	-	Poslanecký klub Levého bloku	The Left Block	1992-06-06	1996-06-06	-
CZ	parliamentaryGroup	parliamentaryGroup.Nezaraz	Nezařaz	-	Nezařazení	Unaffiliated Deputies	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.ODS	ODS	-	Poslanecký klub Občanské demokratické strany	Political group Civic Democratic Party	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.OF.512	OF	-	Občanské fórum	-	1990-06-07	1992-06-04	-
CZ	parliamentaryGroup	parliamentaryGroup.OH.515	OH	-	Občanské hnutí	-	1990-06-07	1992-06-04	-
CZ	parliamentaryGroup	parliamentaryGroup.Pirati	Piráti	-	Poslanecký klub České pirátské strany	Political group Czech Pirate Party	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.SPD	SPD	-	Poslanecký klub Svoboda a přímá demokracie	Political group Freedom and Direct Democracy	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.STAN	STAN	-	Poslanecký klub Starostové a nezávislí	Political group Mayors and Independents	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.TOP09	TOP09	-	Poslanecký klub TOP 09	Political group TOP 09	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.TOP09-S	TOP09-S	-	Poslanecký klub TOP 09 a Starostové	Political group TOP 09 a Starostové	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.Usvit.1111	Úsvit	-	Poslanecký klub Úsvit - Národní Koalice	Political group of Usvit - Narodni Koalice	2013-11-05	2017-10-26	-
CZ	parliamentaryGroup	parliamentaryGroup.VV.867	VV	-	Poslanecký klub Věci veřejné	Political group Public Affairs Party	2010-05-31	2013-08-28	-
CZ	politicalParty	politicalParty.ANO2011.1104	ANO2011	-	ANO2011	ANO2011	2013-10-26	-	-
CZ	politicalParty	politicalParty.CSSD.153	CSSD	-	Česká strana sociálně demokratická	Czech Social Democratic Party	1900-01-01	-	-
CZ	politicalParty	politicalParty.K.595	K	-	Koalice	Coalition	2002-06-15	-	-
CZ	politicalParty	politicalParty.KDU-CSL.151	KDU-ČSL	-	Křesťanská a demokratická unie - Československá strana lidová	Christian Democratic Union - Czechoslovak People's Party	1900-01-01	-	-
CZ	politicalParty	politicalParty.KSCM.154	KSCM	-	Komunistická strana Čech a Moravy	Communist Party of Bohemia and Moravia	1900-01-01	-	-
CZ	politicalParty	politicalParty.ODS.155	ODS	-	Občanská demokratická strana	Civic Democratic Party	1900-01-01	-	-
CZ	politicalParty	politicalParty.PirSTAN.1534	PirSTAN	-	Pirati+STAN	-	2021-10-09	-	-
CZ	politicalParty	politicalParty.Pirati.1290	Piráti	-	Česká pirátská strana	Czech Pirate Party	2017-10-21	-	-
CZ	politicalParty	politicalParty.SPD.1291	SPD	-	Svoboda a prima demokracie - Tomio Okamura	Freedom and Direct Democracy - Tomio Okamura	2017-10-21	-	-
CZ	politicalParty	politicalParty.SPOLU.1533	SPOLU	-	Spolu	-	2021-10-09	-	-
CZ	politicalParty	politicalParty.STAN.1289	STAN	-	Starostove a nezavisli	Mayors and Independents	2017-10-21	-	-
CZ	politicalParty	politicalParty.TOP09.948	TOP09	-	TOP 09	TOP 09	2010-05-29	-	-
CZ	politicalParty	politicalParty.Usvit.1105	Usvit	-	Úsvit přímé demokracie Tomia Okamury	Rise of Direct Democracy of Tomio Okamura	2013-10-26	-	-
CZ	politicalParty	politicalParty.VV.949	VV	-	Věci veřejné	Public Matters	2010-05-29	-	-
