COUNTRY	PM_ID	CHES_ID	YEAR	LRGEN	LR	URL	COMMENT
HR	0	HDSSB	2014	8.44	CR	https://en.wikipedia.org/wiki/Croatian_Democratic_Alliance_of_Slavonia_and_Baranja	
HR	0	HDSSB	2019	8.41			
HR	HDZ	HDZ	2014	7.33	CR	https://en.wikipedia.org/wiki/Croatian_Democratic_Union	
HR	HDZ	HDZ	2019	6.88			
HR	0	HKS	2019	9.26	R	https://en.wikipedia.org/wiki/Croatian_Conservative_Party	
HR	0	HL-SR	2014	2.0	CLL	https://en.wikipedia.org/wiki/Croatian_Labourists_%E2%80%93_Labour_Party	
HR	HNS	HNS	2014	4.0	CCL	https://en.wikipedia.org/wiki/Croatian_People%27s_Party_%E2%80%93_Liberal_Democrats	
HR	HNS	HNS	2019	4.29			
HR	0	HSLS	2014	5.33	CCR	https://en.wikipedia.org/wiki/Croatian_Social_Liberal_Party	
HR	0	HSLS	2019	5.35			
HR	0	HSP	2014	9.25	FR	https://en.wikipedia.org/wiki/Croatian_Party_of_Rights	
HR	0	HSP-AS	2014	9.0	FR	https://en.wikipedia.org/wiki/Croatian_Party_of_Rights_Dr._Ante_Star%C4%8Devi%C4%87	
HR	0	HSS	2014	7.11	CCR	https://en.wikipedia.org/wiki/Croatian_Peasant_Party	
HR	0	HSS	2019	4.67			
HR	0	HSU	2019	4.4	CL	https://en.wikipedia.org/wiki/Croatian_Party_of_Pensioners	
HR	0	IDS	2014	3.33	CCL	https://en.wikipedia.org/wiki/Istrian_Democratic_Assembly	
HR	0	IDS	2019	3.25			
HR	0	MB 365	2019	5.64	CL	https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_%E2%80%93_Labour_and_Solidarity_Party	
HR	Most	Most	2019	7.83	CRR	https://en.wikipedia.org/wiki/The_Bridge_(Croatia)	
HR	0	NS-R	2019	4.64	C	https://en.wikipedia.org/wiki/People%27s_Party_%E2%80%93_Reformists	
HR	0	ORaH	2014	2.44	CLL	https://en.wikipedia.org/wiki/Sustainable_Development_of_Croatia	
HR	SDP	SDP	2014	3.56	CL	https://en.wikipedia.org/wiki/Social_Democratic_Party_of_Croatia	
HR	SDP	SDP	2019	3.42			
HR	SDSS	SDSS	2019	3.08	CL	https://en.wikipedia.org/wiki/Independent_Democratic_Serb_Party	
HR	0	ZZ	2019	4.79	0	https://en.wikipedia.org/wiki/The_Key_of_Croatia	The party refuses to be characterized as being left or right and claims adherence to humanist values
HR	BM 365 i NZ	0	0	0	C	https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_%E2%80%93_Labour_and_Solidarity_Party   https://www.sabor.hr/hr/zastupnici/nezavisni-zastupnici	
HR	GLAS	0	0	0	CL	https://en.wikipedia.org/wiki/Civic_Liberal_Alliance	
HR	HDS, HSLS, HDSSB	0	0	0	C	https://en.wikipedia.org/wiki/Croatian_Demochristian_Party   https://en.wikipedia.org/wiki/Croatian_Social_Liberal_Party   https://en.wikipedia.org/wiki/Croatian_Democratic_Alliance_of_Slavonia_and_Baranja	
HR	HS	0	0	0	R	https://en.wikipedia.org/wiki/Croatian_Sovereignists	
HR	HSS i Demokrati	0	0	0	C	https://en.wikipedia.org/wiki/Croatian_Peasant_Party   https://en.wikipedia.org/wiki/Democrats_(Croatia)	
HR	HSU, SNAGA, NZ i NP	0	0	0	C	https://en.wikipedia.org/wiki/Croatian_Party_of_Pensioners   https://www.sabor.hr/hr/zastupnici/snaga-stranka-narodnog-i-gradanskog-aktivizma-9-saziv	Only HSU and SNAGA could be found on the internet - other parties were not found. 
HR	IDS, PGS, RI	0	0	0	C	https://en.wikipedia.org/wiki/Istrian_Democratic_Assembly   https://en.wikipedia.org/wiki/Alliance_of_Primorje-Gorski_Kotar   https://hr.wikipedia.org/wiki/Lista_za_Rijeku	
HR	NLM	0	0	0	0	https://hr.wikipedia.org/wiki/Nezavisna_lista_mladih	
HR	Nezavisni	0	0	0	0	0	
HR	Živi zid i PH	0	0	0	C	https://en.wikipedia.org/wiki/The_Key_of_Croatia   https://www.sabor.hr/en/members-parliament/party/lets-change-croatia-9-term	
HR	Živi zid, SNAGA	0	0	0	C	https://en.wikipedia.org/wiki/The_Key_of_Croatia   https://www.sabor.hr/hr/zastupnici/snaga-stranka-narodnog-i-gradanskog-aktivizma-9-saziv	
